Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,559000,1,1,679,161 E 110th St Apt 6G,"New York, NY 10029",New York County,New York,Manhattan,40.7945743,-73.9434214
Brokered by Corcoran Bedford Stuyvesant,Condo for sale,289000,1,1,666,1065 Vermont St Apt 4G,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,40.6541622,-73.8846778
Brokered by COMPASS,Condo for sale,699000,1,1,616,435 Tompkins Ave Unit 305,"Brooklyn, NY 11216",New York,Kings County,Brooklyn,40.6826476,-73.9434923
Brokered by COMPASS,Condo for sale,1355000,2,2,1002,435 Tompkins Ave Unit 703,"Brooklyn, NY 11216",New York,Kings County,Brooklyn,40.6826476,-73.9434923
Brokered by COMPASS,Condo for sale,1225000,2,2,882,435 Tompkins Ave Unit 602,"Brooklyn, NY 11216",New York,Kings County,Brooklyn,40.6826476,-73.9434923
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,Condo for sale,235000,2,1,860,162 Arlo Rd Unit A,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6192765,-74.09515
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,7495000,4,4,2888,378 W End Ave Apt 4A,"New York, NY 10024",New York,New York County,New York,40.7833319,-73.9815796
Brokered by Gateway Arms Realty Corp.,Condo for sale,189000,1,1,730,20 Cliff St Apt 5B,"Staten Island, NY 10305",New York,Richmond County,Staten Island,40.6109595,-74.060351
Brokered by Taranto Realty,Condo for sale,549000,3,2,1092,4 Jamie Ct,"Staten Island, NY 10314",United States,New York,Richmond County,40.6221107,-74.1499982
Brokered by EXP REALTY,Condo for sale,329000,2,1,850,55 Austin Pl Apt 6Z,"Staten Island, NY 10304",United States,New York,Richmond County,40.6316141,-74.0858954
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,965000,3,1,540,9 Dekalb Ave Unit 54E,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6903851,-73.9825343
Brokered by Serhant,Condo for sale,2295000,2,2,1242,219 Hudson St Apt 4A,"New York, NY 10013",New York,New York County,New York,40.7241501,-74.0080814
Brokered by Integrity Core Realty,Condo for sale,749000,2,2,1300,13-22 208th Pl Unit 1605,"Bayside, NY 11360",New York,Queens County,Queens,40.7874921,-73.7858086
Brokered by Spire Group Inc.- Main Office,Condo for sale,399000,3,1,500,664 W 161st St Apt 1F,"New York, NY 10032",New York,New York County,New York,40.8374911,-73.9456039
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,16500000,5,4,4105,2150 Broadway,"New York, NY 10023",United States,New York,New York County,40.7814599,-73.9806864
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,16500000,5,4,4105,2150 Broadway,"New York, NY 10023",United States,New York,New York County,40.7814599,-73.9806864
Brokered by Realty Executives Powerhouse,Condo for sale,485000,3,2,2184,901 E 106th St Unit 1A,"Brooklyn, NY 11236",New York,Kings County,Brooklyn,40.6479766,-73.8936697
Brokered by The Agency,Condo for sale,27750000,7,8,8139,551 W 21st St Unit 15AB,"New York, NY 10011",New York,New York County,New York,40.7474926,-74.0072666
Brokered by COMPASS,Condo for sale,10500000,3,3,2753,1 Wall St Apt 4101,"Manhattan, NY 10005",New York,New York County,New York,40.7075029,-74.011653
Brokered by B Square Realty,Condo for sale,699000,2,2,833,214-10 15 Ave Unit 4B,"Bayside, NY 11360",New York,Queens County,Queens,40.7873388,-73.7794685
Brokered by Keller Williams Rlty Landmark,Condo for sale,758000,3,2,1278,3-27 Endeavor Pl Unit C,"College Point, NY 11356",United States,New York,Queens County,40.7928823,-73.8449212
Brokered by Gillani Homes Inc.,Condo for sale,728000,3,2,1890,166 Rolling Hill Grn,"Staten Island, NY 10312",United States,New York,Richmond County,40.55065,-74.193355
Brokered by Liberty Chateau Realty Inc,Condo for sale,434900,3,2,1286,6 Greentree Ln Unit 6,"Staten Island, NY 10314",New York,Richmond County,Staten Island,40.6085756,-74.1610387
Brokered by LoHo Realty Inc,Condo for sale,388000,3,1,2184,157 Broome St Apt 3E,"New York City, NY 10002",New York,New York County,New York,40.7162732,-73.9849864
Brokered by Winzone Realty Inc,Condo for sale,575000,2,2,2184,81-15 Queens Blvd Unit 3C,"Elmhurst, NY 11373",New York,Queens County,Queens,40.7373082,-73.878333
Brokered by Brown Harris Stevens,Condo for sale,3795000,3,2,1887,30 Main St Ph B,"Brooklyn, NY 11201",United States,New York,Kings County,40.702988,-73.9907803
Brokered by Sold By Bart R E Partners Inc,Condo for sale,550000,2,2,2184,62-48 Mount Olivet Cres Unit 1B,"Middle Village, NY 11379",New York,Queens County,Queens,40.7135475,-73.895855
Brokered by Today Realty Corp.,Condo for sale,379000,1,2,704,190 Schofield St Apt 3I,"Bronx, NY 10464",New York,Bronx County,The Bronx,40.845063,-73.783581
Brokered by COMPASS,Condo for sale,799999,3,2,1200,1412 Bonnie Ln Apt 2,"Bayside, NY 11360",New York,Queens County,Queens,40.7859137,-73.7868778
Brokered by Corcoran,Condo for sale,470000,2,1,2184,581 Academy St Apt 1G,"New York, NY 10034",New York,New York County,New York,40.8640024,-73.9231918
Brokered by Corcoran East Side,Condo for sale,2000000,4,3,2000,411 E 53rd St # 4HJ,"New York, NY 10022",New York,New York County,New York,40.7557937,-73.9642805
"Brokered by Nest Seekers International, Midtown",Condo for sale,50000000,6,6,6569,100 Vandam St Apt 20A,"New York, NY 10013",New York,New York County,New York,40.7266327,-74.0088321
Brokered by Goldstone N Y Realty Llc,Condo for sale,880000,4,4,2400,120-10 Ketch Ct Unit 34,"College Point, NY 11356",United States,New York,Queens County,40.7934553,-73.8471618
Brokered by RE MAX 1st Choice,Condo for sale,609000,2,2,2184,132-03 Sanford Ave Unit 3H,"Flushing, NY 11355",New York,Queens County,Queens,40.7550154,-73.8329807
"Brokered by Robert Defalco Realty, Inc.",Condo for sale,109500,3,1,550,1000 Clove Rd Apt 9F,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6202645,-74.1099106
Brokered by E Realty International Corp,Condo for sale,478900,1,1,554,65-18 Austin St Unit 2C,"Rego Park, NY 11374",New York,Queens County,Queens,40.7259759,-73.8599803
"Brokered by CLAS - Classic Marketing, LLC",Condo for sale,2795000,2,2,965,25 Fifth Ave Unit 5B,"New York, NY 10003",10003,United States,New York,40.735321,-73.9941315
Brokered by Keller Williams NYC,Condo for sale,355000,1,1,514,961 Washington Ave Apt 1G,"Brooklyn, NY 11225",New York,Kings County,Brooklyn,40.6660348,-73.9612418
Brokered by COMPASS,Condo for sale,200000,2,3,1260,2 E 55th St Unit 1136W15,"Manhattan, NY 10022",United States,New York,New York County,40.7613979,-73.9746128
Brokered by Elegran Real Estate And Development,Condo for sale,2245000,2,3,1724,171 E 84th St Apt 3B,"New York, NY 10028",New York,New York County,New York,40.7779756,-73.9551546
