Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by EXP Realty,House for sale,2499000,5,2,4100,152 Whitson St,"Forest Hills, NY 11375",United States,New York,Queens County,40.7107701,-73.8406935
Brokered by DiTommaso Real Estate,House for sale,689000,3,2,1248,46 Kirshon Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6137764,-74.1600305
Brokered by Martino Realty Group,House for sale,649999,3,2,1440,219 Slater Blvd,"Staten Island, NY 10305",United States,New York,Richmond County,40.5803331,-74.0885167
Brokered by EXP Realty,House for sale,669000,3,2,864,74 Holly St,"Staten Island, NY 10304",United States,New York,Richmond County,40.5993523,-74.0953882
Brokered by Corcoran Westside Columbus,House for sale,800000,3,2,825,1485 E 53rd St,"Brooklyn, NY 11234",United States,New York,Kings County,40.6222734,-73.924094
Brokered by eXp Realty BKNY,House for sale,390000,2,1,586,231 Freeborn St,"Staten Island, NY 10306",United States,New York,Richmond County,40.574103,-74.0931668
Brokered by RE MAX Edge,House for sale,1450000,4,2,2700,308 Poillon Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5273093,-74.1753435
Brokered by Winzone Realty Inc,House for sale,1300000,3,2,2184,246 Newman Ave,"Bronx, NY 10473",United States,New York,Bronx County,40.8109146,-73.853921
"Brokered by Robert DeFalco Realty, Inc.",House for sale,689999,3,2,1008,596 College Ave,"Staten Island, NY 10302",United States,New York,Richmond County,40.621814,-74.1406264
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,10000000,5,4,6800,166 E 64th St,"New York, NY 10065",United States,New York,New York County,40.764989,-73.9655331
Brokered by Winzone Realty Inc,House for sale,1300000,3,2,2184,246 Newman Ave,"Bronx, NY 10473",United States,New York,Bronx County,40.8109146,-73.853921
"Brokered by Robert DeFalco Realty, Inc.",House for sale,519000,3,2,1480,62 Simmons Ln,"Staten Island, NY 10314",United States,New York,Richmond County,40.5939378,-74.1843153
Brokered by Staten Island Premiere Properties,House for sale,829888,4,2,1800,70 Savo Loop,"Staten Island, NY 10309",10309,United States,New York,40.521278,-74.2230351
Brokered by WW Realty Group Inc,House for sale,999000,6,2,1280,3426 Boller Ave,"Bronx, NY 10475",United States,New York,Bronx County,40.8808173,-73.8350832
Brokered by Citadel Circle Realty,House for sale,615000,3,2,2184,534 Powell St,"Brownville, NY 11212",United States,New York,Kings County,40.6610456,-73.9019953
"Brokered by Robert DeFalco Realty, Inc.",House for sale,2580000,8,2,6493,60 Lyman Pl,"Staten Island, NY 10304",United States,New York,Richmond County,40.6050685,-74.0969483
Brokered by Joanne Costa Realty,House for sale,1150000,2,2,1444,91 Flagg Ct,"Staten Island, NY 10304",United States,New York,Richmond County,40.5882505,-74.1087291
Brokered by Corcoran Park Slope,House for sale,1575000,3,2,2184,530 4th St,"Brooklyn, NY 11215",United States,New York,Kings County,40.6683947,-73.9762195
Brokered by Spire Group Inc.- Main Office,House for sale,550000,3,2,2184,4211 Snyder Ave,"Brooklyn, NY 11203",United States,New York,Kings County,40.6498755,-73.9375091
Brokered by ANNE LOPA REAL ESTATE,House for sale,2147483647,7,6,10000,6659-6675 Amboy Rd,"New York, NY 10309",United States,New York,Richmond County,40.5184841,-74.2244185
Brokered by OneSpace Realty Group LLC,House for sale,799000,5,3,1800,1124 E 51st St,"Brooklyn, NY 11234",United States,New York,Kings County,40.6336127,-73.9276041
Brokered by Keller Williams Realty Greater Nassau,House for sale,1599000,5,3,5600,1233 Todt Hill Rd,"Staten Island, NY 10304",United States,New York,Richmond County,40.5813757,-74.1131912
"Brokered by Robert DeFalco Realty, Inc.",House for sale,1299900,4,4,2755,346 George St,"Staten Island, NY 10307",United States,New York,Richmond County,40.5065922,-74.2393503
Brokered by Re/Max Edge,House for sale,765000,3,4,2205,80 Longview Rd,"Staten Island, NY 10304",United States,New York,Richmond County,40.611142,-74.0905357
Brokered by Sowae Corp,House for sale,285000,2,1,1380,102-15 215 St,"Queens Village, NY 11429",United States,New York,Queens County,40.7128326,-73.7435779
Brokered by Sowae Corp,House for sale,250000,3,2,1224,164-31 99 St,"Howard Beach, NY 11414",United States,New York,Queens County,40.6505528,-73.8316736
Brokered by Hand In Hand Real Estate,House for sale,699900,3,2,1470,102 Lamberts Ln,"Staten Island, NY 10314",United States,New York,Richmond County,40.6153952,-74.1610855
Brokered by True North Realty Luxury Homes,House for sale,879000,4,2,2184,87-45 253rd St,"Bellerose, NY 11426",United States,New York,Queens County,40.7294367,-73.7125595
Brokered by Keller Williams Rlty Landmark,House for sale,799888,3,2,2184,62-24 65 St,"Middle Village, NY 11379",United States,New York,Queens County,40.7138975,-73.8970229
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,House for sale,749000,4,1,1040,29 Canterbury Ave,"Staten Island, NY 10314",United States,New York,Richmond County,40.6165347,-74.1507186
NoBroker,House for sale,499000,2,3,2184,119-44 193rd St,"Saint Albans, NY 11412",United States,New York,Queens County,40.6886004,-73.7568067
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1295000,3,4,2193,269 W 87th St Apt 7B,"New York, NY 10024",New York,New York County,New York,40.7895034,-73.9769713
Brokered by Nella Management Llc,House for sale,300000,3,1,952,5423 Avenue M,"Brooklyn, NY 11234",11234,United States,New York,40.6162917,-73.929914
Brokered by Apollo Point Realty LLC,House for sale,600000,5,2,2184,392 E 7th St,"Kensington, NY 11218",United States,New York,Kings County,40.6422956,-73.972787
Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,1250000,4,4,3300,24 Gianna Ct,"Staten Island, NY 10306",United States,New York,Richmond County,40.5675492,-74.140764
Brokered by Claire Properties,House for sale,774888,3,2,960,417 Genesee Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5525576,-74.1709014
Brokered by CENTURY 21 Kafcos Realty,House for sale,769000,4,2,1728,4322 E Tremont Ave,"Bronx, NY 10465",United States,New York,Bronx County,40.8152029,-73.8154969
Brokered by Morris Park Realty Group,House for sale,499999,2,1,1744,616 City Island Ave,"Bronx, NY 10464",United States,New York,Bronx County,40.8549429,-73.7908303
Brokered by Keller Williams Legendary,House for sale,635000,3,2,2184,118-14 201st Pl,"Saint Albans, NY 11412",United States,New York,Queens County,40.6933533,-73.7503369
Brokered by Capri Jet Realty Corp,House for sale,1099000,5,2,1760,84-11 165th Ave,"Howard Beach, NY 11414",United States,New York,Queens County,40.6481943,-73.8452374
Brokered by Gateway Arms Realty Corp.,House for sale,675000,3,1,1404,44 Hunter Pl,"Staten Island, NY 10301",United States,New York,Richmond County,40.6333513,-74.1021333
"Brokered by Century 21 Amiable Realty Group II, Inc.",House for sale,2650000,6,6,2184,87-07 158th Ave,"Howard Beach, NY 11414",United States,New York,Queens County,40.660323,-73.8455929
Brokered by Sowae Corp,House for sale,420000,3,1,2184,90-07 107th Ave,"Ozone Park, NY 11417",United States,New York,Queens County,40.6784764,-73.8476859
Brokered by Coldwell Banker American Homes,House for sale,549000,3,1,2184,122-04 115th Ave,"South Ozone Park, NY 11420",United States,New York,Queens County,40.6776809,-73.8166457
Brokered by Brooklyn Bound Realty Corp,House for sale,2295000,7,4,3632,235 W 138th St,"New York, NY 10030",United States,New York,New York County,40.8180374,-73.9436858
Brokered by NextHome Prestige,House for sale,1150000,3,4,3000,335 Preston Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5343966,-74.1582874
Brokered by Sowae Corp,House for sale,215000,4,2,2000,408 Van Siclen Ave,"Brooklyn, NY 11207",United States,New York,Kings County,40.6694978,-73.8897534
Brokered by BKNY TROY AVENUE REALTY CORP,House for sale,299000,5,2,2184,219 Beach 44 St,"Far Rockaway, NY 11691",United States,New York,Queens County,40.593404,-73.775651
Brokered by Sowae Corp,House for sale,275000,2,1,1104,3009 Coddington Ave,"Bronx, NY 10461",United States,New York,Bronx County,40.8409818,-73.8292936
Brokered by Drop Key Realty LLC,House for sale,599000,4,2,1682,114-36 Sutter Ave,"South Ozone Park, NY 11420",United States,New York,Queens County,40.6747343,-73.8239749
Brokered by SUPERIOR REALTY SERVICE,House for sale,800000,3,2,1824,2660 Mill Ave,"Brooklyn, NY 11234",United States,New York,Kings County,40.608799,-73.9128174
Brokered by Compass Realty Central Inc.,House for sale,849000,3,2,2000,329 Wainwright Ave,"Staten Island, NY 10312",United States,New York,Richmond County,40.5528489,-74.1699382
Brokered by Sowae Corp,House for sale,130000,3,2,664,263 South Ave,"Staten Island, NY 10303",United States,New York,Richmond County,40.6330671,-74.1659477
Brokered by Eden7 Realty Inc,House for sale,759999,4,2,2184,91-18 173rd St,"Jamaica, NY 11432",United States,New York,Queens County,40.7083753,-73.787158
Brokered by Douglas Elliman - Bayside,House for sale,999500,3,2,1144,157-23 16th Rd,"Whitestone, NY 11357",United States,New York,Queens County,40.784332,-73.8045713
"Brokered by Compass Greater Ny, Llc",House for sale,799000,3,2,1881,431 E 32nd St,"Brooklyn, NY 11226",United States,New York,Kings County,40.6402886,-73.9463493
"Brokered by BEN BAY REALTY, CO.",House for sale,1188000,4,2,1580,1268 76th St,"Brooklyn, NY 11228",United States,New York,Kings County,40.6198659,-74.0087151
Brokered by Pantiga Group Inc.,House for sale,729000,3,2,1400,1625 Lurting Ave,"Bronx, NY 10461",United States,New York,Bronx County,40.846624,-73.8520911
Brokered by Keller Williams Realty NYC Grp,House for sale,599000,4,2,1500,242 E 235th St,"Bronx, NY 10470",United States,New York,Bronx County,40.8972473,-73.868898
Brokered by Unlimited Homes Realty Inc,House for sale,460000,3,3,2256,26 Durland Pl,"Brooklyn, NY 11236",United States,New York,Kings County,40.641648,-73.9064568
Brokered by COMPASS,House for sale,1230250,3,2,1590,70-17 Nansen St,"Queens, NY 11375",United States,New York,Queens County,40.7120962,-73.8518076
Brokered by Homelink Homes Llc,House for sale,799999,3,2,1344,2047 E 38th St,"Brooklyn, NY 11234",United States,New York,Kings County,40.6099147,-73.9287144
Brokered by American Homes Group,House for sale,265000,2,1,660,19 Vera St,"Staten Island, NY 10305",United States,New York,Richmond County,40.5849224,-74.0968781
Brokered by RE MAX Elite,House for sale,575000,2,1,900,190 Beach 109th St,"Rockaway Park, NY 11694",United States,New York,Queens County,40.5809134,-73.8302012
NoBroker,House for sale,875000,2,2,1214,244-89 61st Ave,"Little Neck, NY 11362",United States,New York,Queens County,40.7565472,-73.7339718
"Brokered by Neuhaus Realty, Inc.",House for sale,599999,3,2,1360,68 Watchogue Rd,"Staten Island, NY 10314",United States,New York,Richmond County,40.613911,-74.133028
Brokered by Sowae Corp,House for sale,250000,3,1,1376,4413 Avenue M,"Brooklyn, NY 11234",United States,New York,Kings County,40.6212165,-73.9324344
Brokered by Voro Llc,House for sale,1675000,4,5,2184,85-33 Radnor St,"Jamaica, NY 11432",United States,New York,Queens County,40.7169141,-73.7831551
Brokered by EXIT REALTY PREMIER,House for sale,950000,3,2,1748,66-23 Alderton St,"Rego Park, NY 11374",United States,New York,Queens County,40.7188985,-73.8587988
Brokered by EXP Realty - HAUPPAUGE,House for sale,625000,3,2,2184,132-11 Centreville St,"Ozone Park, NY 11417",United States,New York,Queens County,40.6765364,-73.8351774
Brokered by Nexthome All Island,House for sale,1300000,6,4,2112,222-44 41st Rd,"Bayside, NY 11361",United States,New York,Queens County,40.7645123,-73.7595302
Brokered by Coldwell Banker American Homes,House for sale,399999,2,1,2184,320C Beach 101st St,"Rockaway Park, NY 11694",United States,New York,Queens County,40.5853532,-73.8227113
Brokered by Sowae Corp,House for sale,520000,4,2,1701,860 Herkimer St,"Brooklyn, NY 11233",United States,New York,Kings County,40.6781418,-73.9250576
Brokered by Corcoran Williamsburg Bedford,House for sale,5500000,8,6,9000,5041 Goodridge Ave,"Bronx, NY 10471",United States,New York,Bronx County,40.8985084,-73.902753
Brokered by B Square Realty,House for sale,899000,4,2,2184,36-34 Clearview Expy,"Bayside, NY 11361",United States,New York,Queens County,40.7646585,-73.780903
Brokered by TALK OF THE TOWN REALTY C,House for sale,699000,3,2,2350,2138 Coleman St,"Brooklyn, NY 11234",United States,New York,Kings County,40.6095856,-73.9253159
Brokered by Keller Williams Realty Elite,House for sale,739000,3,1,1148,248-08 82nd Ave,"Bellerose, NY 11426",United States,New York,Queens County,40.7386816,-73.7202723
Brokered by Re/Max Elite,House for sale,569000,3,3,1780,267 Robinson Ave,"Bronx, NY 10465",United States,New York,Bronx County,40.8147819,-73.8265252
Brokered by Baring Homes Corp,House for sale,789000,5,3,1273,223-30 107th Ave,"Queens Village, NY 11429",United States,New York,Queens County,40.7084501,-73.7316272
Brokered by Liberty Chateau Realty Inc,House for sale,924900,3,2,1404,1559 W 4th St,"Brooklyn, NY 11204",United States,New York,Kings County,40.6094348,-73.9777343
Brokered by Landmark International R E Llc,House for sale,999000,4,2,2184,65-07 181st St,"Fresh Meadows, NY 11365",United States,New York,Queens County,40.7365353,-73.7913358
Brokered by COMPASS,House for sale,900000,4,4,2700,12-14 W 5th Rd,"Queens, NY 11693",United States,New York,Queens County,40.6110299,-73.8195062
Brokered by Premium Choice Realty Corp,House for sale,609000,3,2,1620,4384 Locust Point Dr,"Bronx, NY 10465",United States,New York,Bronx County,40.8165837,-73.8006996
Brokered by Liberty Chateau Realty Inc,House for sale,314900,3,3,1200,595 Glenmore Ave,"Brooklyn, NY 11207",United States,New York,Kings County,40.6744942,-73.8883757
Brokered by Julia Shildkret Real Estate,House for sale,2848000,6,2,4443,85-16 Chevy Chase St,"Jamaica, NY 11432",United States,New York,Queens County,40.7202893,-73.7786927
Brokered by Tscherne Realty Inc,House for sale,1298000,3,2,2046,62-15 82nd Pl,"Middle Village, NY 11379",United States,New York,Queens County,40.7239521,-73.8747783
Brokered by Northshore Properties Realty,House for sale,549000,3,1,1400,225 Bement Ave,"Staten Island, NY 10310",United States,New York,Richmond County,40.6368544,-74.1124571
Brokered by Keller Williams Realty Staten Island,House for sale,950000,3,2,1520,67-44 Kessel St,"Queens, NY 11375",United States,New York,Queens County,40.7157274,-73.8563447
Brokered by Sowae Corp,House for sale,399000,3,2,1350,117-02 111th Ave,"South Ozone Park, NY 11420",United States,New York,Queens County,40.6798316,-73.82277
"Brokered by Nest Seekers International, Midtown",House for sale,1250000,5,4,3427,148 Claypit Rd,"Staten Island, NY 10309",United States,New York,Richmond County,40.5395581,-74.2229079
Brokered by Sowae Corp,House for sale,210000,3,2,1840,653 Jerome St,"Brooklyn, NY 11207",United States,New York,Kings County,40.664748,-73.884184
Brokered by Re/Max Edge,House for sale,1248888,4,4,3500,25 Tarring St,"Staten Island, NY 10306",United States,New York,Richmond County,40.5646314,-74.1243252
Brokered by Keller Williams Realty Empire,House for sale,650000,4,1,1152,318 Arthur Kill Rd,"Staten Island, NY 10308",United States,New York,Richmond County,40.5663057,-74.1529549
Brokered by Keller Williams Realty NYC Grp,House for sale,700000,3,2,1620,3610 Corlear Ave,"Bronx, NY 10463",United States,New York,Bronx County,40.8844018,-73.9028342
Brokered by Chase Global Realty Corp,House for sale,930000,3,2,2184,32-16 61st St,"Woodside, NY 11377",United States,New York,Queens County,40.7555333,-73.9016851
"Brokered by BEN BAY REALTY, CO.",House for sale,1150000,3,2,1376,2234 62nd St,"Brooklyn, NY 11204",United States,New York,Kings County,40.6149237,-73.9789281
Brokered by Connie Profaci Realty,House for sale,1200000,4,3,2052,244 Four Corners Rd,"Staten Island, NY 10304",United States,New York,Richmond County,40.59194,-74.1087406
Brokered by Prodigy Real Estate Inc.,House for sale,669999,4,2,1196,416 Colon Ave,"Staten Island, NY 10308",United States,New York,Richmond County,40.5598117,-74.1585168
Brokered by American Homes Group,House for sale,548800,3,4,1440,89 Taft Ave,"Staten Island, NY 10301",United States,New York,Richmond County,40.6409456,-74.0859933
Brokered by NEXTHOME PLATINUM PROPERTIES,House for sale,950000,4,2,2200,68 Schenck Ave,"Brooklyn, NY 11207",United States,New York,Kings County,40.6795412,-73.8904428
Brokered by Century Homes Realty Group LLC,House for sale,1688888,4,3,2364,373 Manor Rd,"Little Neck, NY 11363",United States,New York,Queens County,40.7773521,-73.7464296
Brokered by NEXTHOME PLATINUM PROPERTIES,House for sale,950000,4,2,2200,68 Schenck Ave,"Brooklyn, NY 11207",United States,New York,Kings County,40.6795412,-73.8904428
Brokered by Century Homes Realty Group LLC,House for sale,1688888,4,3,2364,373 Manor Rd,"Little Neck, NY 11363",United States,New York,Queens County,40.7773521,-73.7464296
