Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by Corcoran Park Slope,Pending,1795000,2,2,2184,420 12th St Apt H1L,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,40.6646996,-73.9831407
Brokered by COMPASS,Pending,750000,3,2,1260,1947 Adam Clayton Powell Jr Blvd Apt 1,"Manhattan, NY 10026",United States,New York,New York County,40.8040569,-73.951435
Brokered by TREBACH REALTY INC,Pending,1595000,4,2,2627,519 Tulfan Ter,"Bronx, NY 10463",United States,New York,Bronx County,40.8872408,-73.9082189
Brokered by TREBACH REALTY INC,Pending,1595000,4,2,2627,519 Tulfan Ter,"Bronx, NY 10463",United States,New York,Bronx County,40.8872408,-73.9082189
Brokered by COMPASS,Pending,999000,1,2,1150,403 E 62nd St Apt 14A,"Manhattan, NY 10065",New York,New York County,New York,40.7614157,-73.9599761
Brokered by EXP Realty,Pending,100000,3,1,445,87-70 173rd St Unit 5J,"Jamaica, NY 11432",New York,Queens County,Queens,40.711337,-73.789277
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Pending,1150000,2,2,2184,67 Park Ave # 9B,"New York, NY 10016",New York,New York County,New York,40.74958,-73.9790355
Brokered by Keller Williams Realty Liberty,Pending,299000,2,1,2184,155-21 86 St Unit 3,"Howard Beach, NY 11414",New York,Queens County,Queens,40.6642386,-73.8477653
Brokered by RE MAX Edge,Pending,495000,2,2,1100,9967 Shore Rd Apt 7E,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6123382,-74.0356075
Brokered by RE MAX Edge,Pending,495000,2,2,1100,9967 Shore Rd Apt 7E,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6123382,-74.0356075
Brokered by Douglas Elliman - 1995 Broadway,Pending,1295000,1,1,2184,55 Central Park W Apt 12B,"New York, NY 10023",New York,New York County,New York,40.7722757,-73.979081
Brokered by COMPASS,Pending,420000,1,1,2184,18 E 63rd St Apt 9,"Manhattan, NY 10065",New York,New York County,New York,40.7661564,-73.9700846
Brokered by UNITED NATIONAL REALTY,Pending,599900,6,4,2184,268 Westervelt Ave,"Staten Island, NY 10301",United States,New York,Richmond County,40.6412495,-74.083228
Brokered by COMPASS,Pending,420000,1,1,2184,18 E 63rd St Apt 9,"Manhattan, NY 10065",New York,New York County,New York,40.7661564,-73.9700846
Brokered by COMPASS,Pending,360000,1,1,2184,425 E 78th St Apt 1C,"Manhattan, NY 10075",New York,New York County,New York,40.7711911,-73.9516646
Brokered by Douglas Elliman - Bayside,Pending,825000,2,1,2184,33-11 73rd St,"Jackson Heights, NY 11372",United States,New York,Queens County,40.7542784,-73.8933876
Brokered by Keller Williams Legendary,Pending,450000,2,1,2184,37-26 87th St Unit 2F,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.749416,-73.8796895
Brokered by Corcoran,Pending,210000,1,1,850,135 Ocean Pkwy Apt 1R,"Kensington, NY 11218",New York,Kings County,Brooklyn,40.6466766,-73.9740956
Brokered by Calabrese Real Estate,Pending,565000,2,2,1238,537 Annadale Rd,"Staten Island, NY 10312",United States,New York,Richmond County,40.5493207,-74.1744217
Brokered by COMPASS,Pending,1099000,1,1,715,2 Northside Piers Apt 6F,"Brooklyn, NY 11249",New York,Kings County,Brooklyn,40.719753,-73.9642643
Brokered by Berkshire Hathaway,Pending,1188000,7,2,2184,86-17 105th St,"Richmond Hill, NY 11418",United States,New York,Queens County,40.696809,-73.842496
Brokered by Charles H. Greenthal Property,Pending,959000,2,2,1719,27110 Grand Central Pkwy Apt 30O,"Floral Park, NY 11005",New York,Queens County,Queens,40.7564761,-73.7212008
Brokered by PEERLESS PROPERTIES CORP.,Pending,559900,2,1,1217,158-11 96th St,"Howard Beach, NY 11414",United States,New York,Queens County,40.6609023,-73.8371049
Brokered by Douglas Elliman - Bayside,Pending,780000,3,2,1900,250-38 39th Rd,"Little Neck, NY 11363",United States,New York,Queens County,40.7742555,-73.7407295
Brokered by Douglas Elliman - 575 Madison Ave,Pending,595000,1,1,2184,210 Sixth Ave Unit 1G,"New York, NY 10014",New York,New York County,New York,40.7271763,-74.0030659
Brokered by EXP Realty,Pending,938000,2,2,1700,66-43 Alderton St,"Rego Park, NY 11374",United States,New York,Queens County,40.7183478,-73.858704
Brokered by Douglas Elliman - Bayside,Pending,1238000,3,2,1550,44-11 192nd St,"Flushing, NY 11358",United States,New York,Queens County,40.7561033,-73.7889919
NoBroker,Pending,895000,2,1,2184,365 W 20th St Apt 9C,"Manhattan, NY 10011",New York,New York County,New York,40.7443407,-74.0016248
Brokered by COMPASS,Pending,2750000,3,4,2900,171 W 57th St Apt 11B,"Manhattan, NY 10019",New York,New York County,New York,40.7656355,-73.9795713
Brokered by Ldm Real Estate Llc,Pending,1688000,4,3,2880,1307 157th St,"Whitestone, NY 11357",United States,New York,Queens County,40.7897224,-73.8045254
Brokered by Douglas Elliman - 140 Franklin,Pending,1295000,2,2,2000,130 W 26th St Apt 3,"New York, NY 10001",New York,New York County,New York,40.7450475,-73.9923569
Brokered by Corcoran SoHo,Pending,1775000,2,2,2184,21 Monroe Pl Apt 3FL,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6965907,-73.9926789
Brokered by Olam Realty Group,Pending,769000,2,2,2184,102-42 63rd Ave,"Forest Hills, NY 11375",United States,New York,Queens County,40.7339071,-73.8535727
Brokered by COMPASS,Pending,4650000,6,2,4734,168 Lafayette Ave,"Brooklyn, NY 11238",United States,New York,Kings County,40.6875443,-73.9701737
